About,Director,Writers,category,duration,movie_type,number_of_vote,rating,recommendation,title
"
                    After being recruited to a secretive academy, a group of students discover that the magic they read about as children is very real-and more dangerous than they ever imagined.
            ",Sera Gamble,"Stella Maeve,Hale Appleman,Arjun Gupta,See full cast & crew",Drama,"
                        1h
                    ",Serie,"40,828",7.6,"Legion,Chilling Adventures of Sabrina,Wynonna Earp,Killjoys,Farscape,The Shannara Chronicles,Angel,Vagrant Queen,Buffy the Vampire Slayer,Shadowhunters,A Discovery of Witches,Firefly",The Magicians             
"
                    While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.
            ",Damien Chazelle,Damien Chazelle,Comedy,"
                        2h 8min
                    ",Movie,"478,241",8.0,"Her,The Notebook,The Shape of Water,Titanic,A Star Is Born,The Theory of Everything,Marriage Story,Whiplash,Crazy, Stupid, Love.,Call Me by Your Name,The Perks of Being a Wallflower,Moonlight",La La Land 
"
                    Young Angus ""Mac"" MacGyver works for a clandestine organization within the U.S. government, relying on his unconventional problem-solving skills to save lives.
            ",Peter M. Lenkov,"Lucas Till,Tristin Mays,Justin Hires,See full cast & crew",Action,"
                        43min
                    ",Serie,"15,955",5.2,"Magnum P.I.,Hawaii Five-0,MacGyver,NCIS: Los Angeles,NCIS: New Orleans,S.W.A.T.,Scorpion,Bull,FBI,SEAL Team,The Rookie,NCIS",MacGyver             
"
                    In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.
            ",John Krasinski,"Bryan Woods,Scott Beck,3 more credits",Drama,"
                        1h 30min
                    ",Movie,"381,328",7.5,"Get Out,It,Bird Box,Us,The Conjuring,Split,The Cabin in the Woods,Don't Breathe,Hereditary,Annihilation,The Conjuring 2,It Chapter Two",A Quiet Place 
"
                    In early 18th century England, a frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah.
            ",Yorgos Lanthimos,"Deborah Davis,Tony McNamara",Biography,"
                        1h 59min
                    ",Movie,"158,240",7.5,"Roma,The Lobster,Bohemian Rhapsody,Vice,BlacKkKlansman,The Killing of a Sacred Deer,Dogtooth,If Beale Street Could Talk,The Shape of Water,Marriage Story,A Star Is Born,Birdman or (The Unexpected Virtue of Ignorance)",The Favourite 
"
                    Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the 1990s.
            ",Darren Star,"Sarah Jessica Parker,Kim Cattrall,Kristin Davis,See full cast & crew",Comedy,"
                        30min
                    ",Serie,"101,634",7.1,"Sex and the City,Sex and the City 2,Desperate Housewives,Gossip Girl,Gilmore Girls,The O.C.,Revenge,Pretty Little Liars,Gilmore Girls: A Year in the Life,90210,Devious Maids,One Tree Hill",Sex and the City             
"
                    A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
            ",Alejandro G. Iñárritu,"Mark L. Smith,Alejandro G. Iñárritu,1 more credit",Action,"
                        2h 36min
                    ",Movie,"674,435",8.0,"The Martian,Gravity,Titanic,The Wolf of Wall Street,Dunkirk,Shutter Island,Avatar,The Hateful Eight,Life of Pi,Django Unchained,Deadpool,Inglourious Basterds",The Revenant 
"
                    Zak runs away from his care home to make his dream of becoming a wrestler come true.
            ",Tyler Nilson,"Tyler Nilson,Michael Schwartz",Comedy,"
                        1h 37min
                    ",Movie,"42,201",7.6,"Honey Boy,The Farewell,Booksmart,Long Shot,Pain and Glory,The Nightingale,Good Boys,Little Woods,Blinded by the Light,School of Rock,Ready or Not,Waves",The Peanut Butter Falcon 
"
                    A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
            ",Robert Zemeckis,William Broyles Jr.,Adventure,"
                        2h 23min
                    ",Movie,"503,071",7.8,"The Terminal,Captain Phillips,Sully,The Da Vinci Code,127 Hours,The Curious Case of Benjamin Button,The Pursuit of Happyness,Angels & Demons,Big,Apollo 13,Titanic,Catch Me If You Can",Cast Away 
"
                    An introvert freshman is taken under the wings of two seniors who welcome him to the real world.
            ",Stephen Chbosky,"Stephen Chbosky,Stephen Chbosky",Drama,"
                        1h 43min
                    ",Movie,"445,310",8.0,"500 Days of Summer,Lady Bird,Call Me by Your Name,10 Things I Hate About You,Silver Linings Playbook,The Notebook,Juno,The Fault in Our Stars,La La Land,Crazy, Stupid, Love.,Easy A,Her",The Perks of Being a Wallflower 
"
                    When a twenty-something computer geek inadvertently downloads critical government secrets into his brain, the C.I.A. and the N.S.A. assign two agents to protect him and exploit such knowledge, turning his life upside down.
            ",Chris Fedak,"Zachary Levi,Yvonne Strahovski,Joshua Gomez,See full cast & crew",Action,"
                        43min
                    ",Serie,"124,475",8.2,"Psych,White Collar,Burn Notice,The Mentalist,Castle,Person of Interest,Fringe,Psych: The Movie,Heroes,Leverage,Bones,Lie to Me",Chuck             
"
                    Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.
            ",Alexandra Cunningham,"Connie Britton,Eric Bana,Julia Garner,See full cast & crew",Crime,"
                        50min
                    ",Serie,"11,652",7.1,"Dirty John, The Dirty Truth,What/If,The Stranger,Dead to Me,Safe,Unbelievable,Good Girls,You,The Sinner,Little Fires Everywhere,Killer Inside: The Mind of Aaron Hernandez,Don't F**k with Cats: Hunting an Internet Killer",Dirty John             
